253310466024169472	401099806	16	19	objective	Just got him tickets to the Knicks vs Celtics game on October 20 Lmfao how mad would he be ?
263332884411215873	436975790	0	19	objective	Joseph Prince - None Of Us, All Of Christ! - 14 Oct 2012: http://youtu.be/jOCbZJFvmJ0  via @youtube How much of God's GRACe do you need?
263332884411215873	436975790	20	20	positive	Joseph Prince - None Of Us, All Of Christ! - 14 Oct 2012: http://youtu.be/jOCbZJFvmJ0  via @youtube How much of God's GRACe do you need?
263332884411215873	436975790	21	23	objective	Joseph Prince - None Of Us, All Of Christ! - 14 Oct 2012: http://youtu.be/jOCbZJFvmJ0  via @youtube How much of God's GRACe do you need?
260832035642413056	267357551	0	13	objective	Saturday 27/10/12 Regal in session with The Big Tunes Crew @ the Iguana Reading more niceness to keep ya skanking hard.
260832035642413056	267357551	14	15	positive	Saturday 27/10/12 Regal in session with The Big Tunes Crew @ the Iguana Reading more niceness to keep ya skanking hard.
260832035642413056	267357551	16	18	objective	Saturday 27/10/12 Regal in session with The Big Tunes Crew @ the Iguana Reading more niceness to keep ya skanking hard.
260832035642413056	267357551	19	20	positive	Saturday 27/10/12 Regal in session with The Big Tunes Crew @ the Iguana Reading more niceness to keep ya skanking hard.
263962593155219456	119519641	0	6	objective	National Council on Patient Information & Education celebrates its 30th anniversary! Thanks 4 helping many learn about patient & med safety
263962593155219456	119519641	7	7	positive	National Council on Patient Information & Education celebrates its 30th anniversary! Thanks 4 helping many learn about patient & med safety
263962593155219456	119519641	8	10	objective	National Council on Patient Information & Education celebrates its 30th anniversary! Thanks 4 helping many learn about patient & med safety
263962593155219456	119519641	11	11	positive	National Council on Patient Information & Education celebrates its 30th anniversary! Thanks 4 helping many learn about patient & med safety
263962593155219456	119519641	12	20	objective	National Council on Patient Information & Education celebrates its 30th anniversary! Thanks 4 helping many learn about patient & med safety
264105877722771456	770079542	0	22	objective	Got plans tonight? Join us at AJ's on Poyntz for Thursday Night Live! Jessica Furney will be playing 7-9 pm http://ow.ly/i/10PEw ...
261452792298864640	127567306	0	1	positive	Looking forward to preaching at Plant City's First Baptist Sunday @ 6:30pm. New City Church will be baptizing 2 into the Kingdom. Praise God
261452792298864640	127567306	2	21	objective	Looking forward to preaching at Plant City's First Baptist Sunday @ 6:30pm. New City Church will be baptizing 2 into the Kingdom. Praise God
261452792298864640	127567306	22	22	positive	Looking forward to preaching at Plant City's First Baptist Sunday @ 6:30pm. New City Church will be baptizing 2 into the Kingdom. Praise God
261452792298864640	127567306	23	23	objective	Looking forward to preaching at Plant City's First Baptist Sunday @ 6:30pm. New City Church will be baptizing 2 into the Kingdom. Praise God
176884776194686976	29635577	0	12	objective	Geoff Shackelford: Honda Classic Ratings Up 78%: Michael Hiestand with the http://bit.ly/xG3x5c  http://MiuraGolf.com 
263610585143459843	68244172	0	1	objective	TONIGHT!!! we proudly pres. our 7th HALLOWEEN party with LIMEWAX & many more - this time at Studio 21 (twenty one) http://fb.me/2ukqCuGuh 
263610585143459843	68244172	2	2	positive	TONIGHT!!! we proudly pres. our 7th HALLOWEEN party with LIMEWAX & many more - this time at Studio 21 (twenty one) http://fb.me/2ukqCuGuh 
263610585143459843	68244172	3	21	objective	TONIGHT!!! we proudly pres. our 7th HALLOWEEN party with LIMEWAX & many more - this time at Studio 21 (twenty one) http://fb.me/2ukqCuGuh 
199829528468656129	108914234	0	20	objective	This Saturday GREEN VELVET back at Cherry Moon! Together with DEG, FRANK ZOLEX, YOURI PARKER & DJ GHOST! Be part... http://fb.me/1WuTTKCDB 
264157367481012224	577546457	0	8	objective	At least I'm going to eastern tomorrow. Livonia can scratch my balls.
